model,down_sample_rate,feature_selection,accuracy_overall,accuracy_N,accuracy_L,accuracy_R,accuracy_B,false_positives,misclassifications,num_events
Random Forest #1:,1,none,0.9298530706208952,0.9561850201570126,0.888509184109355,0.8929794520547946,0.8318318318318318,5,27,813
Random Forest #1:,1,none,0.9334416683594016,0.9568215573944407,0.9030328919265272,0.8925513698630136,0.8528528528528528,5,22,813
Random Forest #1:,1,none,0.9324937368813054,0.9603225122002972,0.8859461768475011,0.8955479452054794,0.8318318318318318,4,28,813
Random Forest #1:,1,none,0.933509377750694,0.9570337364735836,0.8996155489107219,0.901541095890411,0.8318318318318318,6,24,813
Random Forest #1:,1,none,0.9319520617509648,0.9579885423297264,0.8944895343870141,0.8938356164383562,0.8288288288288288,5,27,813
Random Forest #1:,1,none,0.9343895998374976,0.9590494377254404,0.8953438701409654,0.9006849315068494,0.8408408408408409,5,25,813
Random Forest #1:,1,none,0.9334416683594016,0.9583068109484404,0.897052541648868,0.9002568493150684,0.8258258258258259,4,26,813
Random Forest #1:,1,none,0.9345250186200826,0.9596859749628688,0.905595899188381,0.8925513698630136,0.8273273273273273,3,23,813
Random Forest #1:,1,none,0.9318843523596724,0.9586250795671548,0.8902178556172576,0.8951198630136986,0.8288288288288288,4,29,813
Random Forest #1:,1,none,0.933035412011646,0.957352005092298,0.897052541648868,0.8985445205479452,0.8363363363363363,6,27,813
SVM #1: Linear,1,none,0.7060058230076511,0.9709314661574368,0.1994873985476292,0.2709760273972603,0.2627627627627628,4,523,813
SVM #1: Linear,1,none,0.7080371047464283,0.9740080628050074,0.1858180264844083,0.2808219178082192,0.2777777777777778,5,519,813
SVM #1: Linear,1,none,0.7099329677026204,0.97040101845958,0.1909440410081161,0.2953767123287671,0.3018018018018018,6,510,813
SVM #1: Linear,1,none,0.7100006770939129,0.9705071079991512,0.184963690730457,0.2915239726027397,0.3363363363363363,5,508,813
SVM #1: Linear,1,none,0.7120319588326901,0.9732654360280076,0.2003417343015805,0.2923801369863014,0.2852852852852853,4,514,813
SVM #1: Linear,1,none,0.7055995666598958,0.9711436452365796,0.1815463477146518,0.2773972602739726,0.2912912912912913,4,524,813
SVM #1: Linear,1,none,0.7097298395287427,0.9751750477402928,0.1913712088850918,0.2816780821917808,0.2762762762762762,4,523,813
SVM #1: Linear,1,none,0.7076985577899655,0.9705071079991512,0.1986330627936779,0.2705479452054795,0.3108108108108108,4,520,813
SVM #1: Linear,1,none,0.7083756517028912,0.9713558243157224,0.1982058949167022,0.2803938356164384,0.2807807807807808,5,514,813
SVM #1: Linear,1,none,0.7097975489200352,0.9708253766178656,0.1964972234087996,0.2902397260273973,0.2912912912912913,6,513,813
SVM #2: Poly,1,none,0.8293046245514253,0.9690218544451517,0.5510465612985903,0.7367294520547946,0.1546546546546546,5,224,813
SVM #2: Poly,1,none,0.8305233935946916,0.9695523021430088,0.5557454079453226,0.7392979452054794,0.1486486486486486,7,223,813
SVM #2: Poly,1,none,0.8326223847247614,0.9715680033948652,0.562580093976933,0.7345890410958904,0.1591591591591591,6,218,813
SVM #2: Poly,1,none,0.8306588123772767,0.9702949289200083,0.5510465612985903,0.7371575342465754,0.1651651651651651,6,220,813
SVM #2: Poly,1,none,0.832351547159591,0.971780182474008,0.5561725758222982,0.7397260273972602,0.1546546546546546,6,222,813
SVM #2: Poly,1,none,0.8309973593337396,0.9684914067472948,0.562580093976933,0.7367294520547946,0.1591591591591591,8,216,813
SVM #2: Poly,1,none,0.8318098720292505,0.9720984510927224,0.5523280649295172,0.7311643835616438,0.1816816816816817,5,218,813
SVM #2: Poly,1,none,0.832825512898639,0.9708253766178656,0.558735583084152,0.7367294520547946,0.1801801801801801,6,215,813
SVM #2: Poly,1,none,0.8317421626379579,0.972310630171865,0.5536095685604443,0.740582191780822,0.1396396396396396,5,226,813
SVM #2: Poly,1,none,0.8286275306384996,0.9690218544451517,0.5506193934216147,0.7337328767123288,0.1516516516516516,6,226,813
SVM #3: RBF,1,none,0.903581826799377,0.9596859749628688,0.784280222127296,0.875,0.6291291291291291,8,59,813
SVM #3: RBF,1,none,0.9052068521903988,0.9604286017398684,0.7979495941905169,0.8732876712328768,0.6126126126126126,8,57,813
SVM #3: RBF,1,none,0.9046651770600582,0.9605346912794398,0.7889790687740282,0.8762842465753424,0.6201201201201201,9,60,813
SVM #3: RBF,1,none,0.9041235019297176,0.9595798854232972,0.7911149081589065,0.8758561643835616,0.6156156156156156,9,60,813
SVM #3: RBF,1,none,0.9041912113210102,0.9598981540420116,0.7894062366510038,0.8720034246575342,0.6321321321321322,9,58,813
SVM #3: RBF,1,none,0.9044620488861804,0.9596859749628688,0.7885519008970525,0.8767123287671232,0.6276276276276276,9,59,813
SVM #3: RBF,1,none,0.9068995869727132,0.9600042435815828,0.7966680905595899,0.8779965753424658,0.6441441441441441,9,53,813
SVM #3: RBF,1,none,0.9052068521903988,0.9594737958837258,0.7919692439128577,0.8784246575342466,0.6291291291291291,8,58,813
SVM #3: RBF,1,none,0.9036495361906696,0.9598981540420116,0.7800085433575396,0.8767123287671232,0.6366366366366366,8,62,813
SVM #3: RBF,1,none,0.8980296567133862,0.9549119456821558,0.7774455360956856,0.870291095890411,0.6141141141141141,8,65,813
SVM #4: Sigmoid,1,none,0.6203534430225472,0.8487163165711861,0.2776591200341734,0.1626712328767123,0.1981981981981982,86,429,813
SVM #4: Sigmoid,1,none,0.5864987473762611,0.8134945894334819,0.2272533105510465,0.1451198630136986,0.1846846846846846,64,468,813
SVM #4: Sigmoid,1,none,0.6141241790236306,0.8385317207723318,0.2768047842802221,0.1630993150684931,0.2057057057057057,96,427,813
SVM #4: Sigmoid,1,none,0.59015505450606,0.8084022915340547,0.2516018795386587,0.1596746575342466,0.2012012012012012,71,435,813
SVM #4: Sigmoid,1,none,0.6268535445866341,0.8567791215786124,0.2451943613840239,0.2204623287671233,0.1396396396396396,81,433,813
